"","Finland","Sweden","Norway","Denmark","Iceland"
1960,324019,879042,395171,485596,14127
1961,332058,897378,405767,497500,14607
1962,338831,916015,415999,509606,15067
1963,347155,934515,425619,521124,15507
1964,357741,954918,435290,532444,15855
1965,367362,977921,445890,543361,16183
1966,377075,1003057,457441,553997,16500
1967,387814,1027340,469007,565535,16791
1968,397880,1048975,479745,578254,17162
1969,409183,1072508,489396,591502,17566
1970,421863,1101803,498426,606495,17952
1971,434923,1130507,507517,621409,18325
1972,450140,1155276,516924,635250,18688
1973,466481,1179289,526603,649884,19060
1974,483204,1205821,537303,664521,19481
1975,500173,1233317,548381,678125,19941
1976,516363,1258720,559216,690694,20442
1977,532639,1285215,570805,704466,20963
1978,547705,1311453,582273,718611,21500
1979,560914,1334506,592812,730282,22028
1980,572432,1353912,602789,739026,22482
1981,581435,1369424,612309,745716,22843
1982,590524,1384365,622707,752168,23231
1983,599724,1398641,633605,758774,23670
1984,605092,1411976,642357,764491,24067
1985,612008,1433145,652750,772506,24501
1986,623600,1458905,664691,783417,25077
1987,634396,1478630,673971,791246,25650
1988,645207,1493699,681681,796023,26132
1989,656464,1509247,688002,800107,26594
1990,667489,1523804,691746,802711,27086
1991,678999,1532874,694219,804196,27621
1992,690154,1537643,696033,804650,28187
1993,700872,1540949,695642,803061,28759
1994,713112,1547091,694891,800236,29361
1995,726250,1551575,694555,798060,30028
1996,737956,1550209,693786,796467,30636
1997,747960,1547043,692463,794640,31190
1998,755744,1542348,689682,793111,31679
1999,763057,1535993,685325,792031,32077
2000,772231,1531731,680759,792314,32512
2001,782328,1531389,677177,794258,33022
2002,793010,1532906,674558,797287,33519
2003,805905,1537272,673849,801773,33928
2004,822091,1546490,675957,808188,34327
2005,836082,1556703,680031,816825,34776
2006,854977,1569778,683979,827276,35297
2007,872000,1592536,689411,842556,35981
2008,883660,1625488,699042,864400,36764
2009,901257,1667583,713762,890188,37599
2010,925729,1713176,732505,919585,38598
2011,960309,1757323,755174,952106,39723
2012,998881,1799295,779371,984579,40969
2013,1037351,1840599,801583,1013550,42331
2014,1073980,1882148,823484,1039547,43770
2015,1107265,1919828,844556,1065638,45283
2016,1136545,1955588,864739,1090575,46732
2017,1164653,1990782,885665,1112661,48190
2018,1192086,2022999,907662,1132945,49840
2019,1218055,2052649,930340,1151405,51589
2020,1243599,2074063,953777,1169017,53400
2021,1268422,2094024,978816,1187085,55601
